,STATION,LINENAME,WEEKDAY,TIME,dEXITS,dENTRIES,Station_Latitude,Station_Longitude
52,LEXINGTON AVE,F,1,16:00:00,1759.1176470588234,3343.529411764706,40.764627000000004,-73.96611
53,LEXINGTON AVE,F,1,20:00:00,1584.75,3540.8653846153848,40.764627000000004,-73.96611
54,LEXINGTON AVE,F,2,00:00:00,423.34615384615387,1013.8076923076923,40.764627000000004,-73.96611
55,LEXINGTON AVE,F,2,04:00:00,462.7551020408163,194.79591836734693,40.764627000000004,-73.96611
56,LEXINGTON AVE,F,2,08:00:00,2890.553191489362,1131.0,40.764627000000004,-73.96611
57,LEXINGTON AVE,F,2,12:00:00,2427.9166666666665,1977.75,40.764627000000004,-73.96611
58,LEXINGTON AVE,F,2,16:00:00,1776.5576923076924,3203.923076923077,40.764627000000004,-73.96611
59,LEXINGTON AVE,F,2,20:00:00,1586.7884615384614,3573.2115384615386,40.764627000000004,-73.96611
60,LEXINGTON AVE,F,3,00:00:00,451.36538461538464,1048.9615384615386,40.764627000000004,-73.96611
61,LEXINGTON AVE,F,3,04:00:00,398.26,184.6,40.764627000000004,-73.96611
62,LEXINGTON AVE,F,3,08:00:00,2705.2448979591836,1091.6530612244899,40.764627000000004,-73.96611
63,LEXINGTON AVE,F,3,12:00:00,2371.725490196078,1896.6078431372548,40.764627000000004,-73.96611
64,LEXINGTON AVE,F,3,16:00:00,1785.0384615384614,3117.8076923076924,40.764627000000004,-73.96611
65,LEXINGTON AVE,F,3,20:00:00,1578.8076923076924,3552.3846153846152,40.764627000000004,-73.96611
66,LEXINGTON AVE,F,4,00:00:00,465.06,1047.38,40.764627000000004,-73.96611
67,LEXINGTON AVE,F,4,04:00:00,400.10869565217394,195.7608695652174,40.764627000000004,-73.96611
68,LEXINGTON AVE,F,4,08:00:00,2404.425531914894,992.7659574468086,40.764627000000004,-73.96611
69,LEXINGTON AVE,F,4,12:00:00,2299.18,1854.469387755102,40.764627000000004,-73.96611
70,LEXINGTON AVE,F,4,16:00:00,1802.826923076923,3308.576923076923,40.764627000000004,-73.96611
71,LEXINGTON AVE,F,4,20:00:00,1490.0,3027.6,40.764627000000004,-73.96611
72,LEXINGTON AVE,F,5,00:00:00,490.15686274509807,930.3921568627451,40.764627000000004,-73.96611
73,LEXINGTON AVE,F,5,04:00:00,230.35294117647058,170.84313725490196,40.764627000000004,-73.96611
74,LEXINGTON AVE,F,5,08:00:00,835.3269230769231,288.40384615384613,40.764627000000004,-73.96611
75,LEXINGTON AVE,F,5,12:00:00,1302.5882352941176,779.1372549019608,40.764627000000004,-73.96611
76,LEXINGTON AVE,F,5,16:00:00,1331.25,1354.2307692307693,40.764627000000004,-73.96611
77,LEXINGTON AVE,F,5,20:00:00,932.26,1269.28,40.764627000000004,-73.96611
78,LEXINGTON AVE,F,6,00:00:00,446.3958333333333,615.4791666666666,40.764627000000004,-73.96611
79,LEXINGTON AVE,F,6,04:00:00,210.5686274509804,167.0,40.764627000000004,-73.96611
80,LEXINGTON AVE,F,6,08:00:00,559.8653846153846,214.94230769230768,40.764627000000004,-73.96611
81,LEXINGTON AVE,F,6,12:00:00,972.0,579.14,40.764627000000004,-73.96611
82,LEXINGTON AVE,F,6,16:00:00,1056.38,999.68,40.764627000000004,-73.96611
83,LEXINGTON AVE,F,6,20:00:00,694.4117647058823,885.9411764705883,40.764627000000004,-73.96611
84,5 AVE-59 ST,NQR,0,00:00:00,215.7843137254902,694.156862745098,40.764811,-73.973347
85,5 AVE-59 ST,NQR,0,04:00:00,105.87755102040816,44.93877551020408,40.764811,-73.973347
86,5 AVE-59 ST,NQR,0,08:00:00,4615.977272727273,602.1363636363636,40.764811,-73.973347
87,5 AVE-59 ST,NQR,0,12:00:00,3861.0697674418607,2111.7441860465115,40.764811,-73.973347
88,5 AVE-59 ST,NQR,0,16:00:00,2944.061224489796,7355.458333333333,40.764811,-73.973347
89,5 AVE-59 ST,NQR,0,20:00:00,1306.4038461538462,6837.557692307692,40.764811,-73.973347
90,5 AVE-59 ST,NQR,1,00:00:00,230.94230769230768,1104.4038461538462,40.764811,-73.973347
91,5 AVE-59 ST,NQR,1,04:00:00,127.925,56.35,40.764811,-73.973347
92,5 AVE-59 ST,NQR,1,08:00:00,5339.0,734.6666666666666,40.764811,-73.973347
93,5 AVE-59 ST,NQR,1,12:00:00,3951.688888888889,2314.9555555555557,40.764811,-73.973347
94,5 AVE-59 ST,NQR,1,16:00:00,2891.0,7546.403846153846,40.764811,-73.973347
95,5 AVE-59 ST,NQR,1,20:00:00,1402.921568627451,7417.0,40.764811,-73.973347
96,5 AVE-59 ST,NQR,2,00:00:00,281.09615384615387,1366.076923076923,40.764811,-73.973347
97,5 AVE-59 ST,NQR,2,04:00:00,118.8,63.93333333333333,40.764811,-73.973347
98,5 AVE-59 ST,NQR,2,08:00:00,5142.292682926829,702.390243902439,40.764811,-73.973347
99,5 AVE-59 ST,NQR,2,12:00:00,3939.0833333333335,2326.5416666666665,40.764811,-73.973347
100,5 AVE-59 ST,NQR,2,16:00:00,2998.725490196078,7670.568627450981,40.764811,-73.973347
101,5 AVE-59 ST,NQR,2,20:00:00,1468.2745098039215,7338.862745098039,40.764811,-73.973347
102,5 AVE-59 ST,NQR,3,00:00:00,291.11538461538464,1318.9807692307693,40.764811,-73.973347
103,5 AVE-59 ST,NQR,3,04:00:00,123.76086956521739,68.45652173913044,40.764811,-73.973347
104,5 AVE-59 ST,NQR,3,08:00:00,5110.162790697675,706.9767441860465,40.764811,-73.973347
105,5 AVE-59 ST,NQR,3,12:00:00,3913.911111111111,2335.0222222222224,40.764811,-73.973347
106,5 AVE-59 ST,NQR,3,16:00:00,2979.4117647058824,7574.431372549019,40.764811,-73.973347
107,5 AVE-59 ST,NQR,3,20:00:00,1437.2745098039215,7096.137254901961,40.764811,-73.973347
108,5 AVE-59 ST,NQR,4,00:00:00,291.1923076923077,1264.4423076923076,40.764811,-73.973347
109,5 AVE-59 ST,NQR,4,04:00:00,127.6875,79.08333333333333,40.764811,-73.973347
110,5 AVE-59 ST,NQR,4,08:00:00,4583.255319148936,647.531914893617,40.764811,-73.973347
111,5 AVE-59 ST,NQR,4,12:00:00,4028.5208333333335,2414.5,40.764811,-73.973347
112,5 AVE-59 ST,NQR,4,16:00:00,3154.529411764706,7811.274509803921,40.764811,-73.973347
113,5 AVE-59 ST,NQR,4,20:00:00,1425.4,6544.18,40.764811,-73.973347
114,5 AVE-59 ST,NQR,5,00:00:00,343.8333333333333,1303.0,40.764811,-73.973347
115,5 AVE-59 ST,NQR,5,04:00:00,84.45098039215686,144.66666666666666,40.764811,-73.973347
116,5 AVE-59 ST,NQR,5,08:00:00,1568.94,300.85714285714283,40.764811,-73.973347
117,5 AVE-59 ST,NQR,5,12:00:00,3005.125,1661.4791666666667,40.764811,-73.973347
